,Data,Clean Data,POS Tagged,Lemma,Sentiment,Analysis
0," My parents and I travelled to Lisbon via Dubai on the A380 and 777-300ER and service was very good, food was tasty and economy on the A380 and 777-300er and 777-200er was pretty good. And we travelled home from Barcelona via Dubai to Perth on 777-200LR and A380 and service was the same. My overall experience with Emirates being my first time was great and I would recommend them for overseas travel. This was my first time travelling on the amazing A380 and it was great to fly on."," My parents and I travelled to Lisbon via Dubai on the A380 and 777-300ER and service was very good, food was tasty and economy on the A380 and 777-300er and 777-200er was pretty good. And we travelled home from Barcelona via Dubai to Perth on 777-200LR and A380 and service was the same. My overall experience with Emirates being my first time was great and I would recommend them for overseas travel. This was my first time travelling on the amazing A380 and it was great to fly on.","[('parents', 'n'), ('travelled', 'v'), ('Lisbon', 'n'), ('via', None), ('Dubai', 'n'), ('A380', 'n'), ('777-300ER', 'n'), ('service', 'n'), ('good', 'a'), (',', None), ('food', 'n'), ('tasty', 'a'), ('economy', 'n'), ('A380', 'n'), ('777-300er', 'a'), ('777-200er', 'a'), ('pretty', 'r'), ('good', 'a'), ('.', None), ('travelled', 'v'), ('home', 'n'), ('Barcelona', 'n'), ('via', None), ('Dubai', 'n'), ('Perth', 'v'), ('777-200LR', 'a'), ('A380', 'n'), ('service', 'n'), ('.', None), ('overall', 'a'), ('experience', 'n'), ('Emirates', 'n'), ('first', 'a'), ('time', 'n'), ('great', 'a'), ('would', None), ('recommend', 'v'), ('overseas', 'a'), ('travel', 'n'), ('.', None), ('first', 'a'), ('time', 'n'), ('travelling', 'v'), ('amazing', 'a'), ('A380', 'n'), ('great', 'a'), ('fly', 'v'), ('.', None)]","  parent travel Lisbon via Dubai A380 777-300ER service good , food tasty economy A380 777-300er 777-200er pretty good . travel home Barcelona via Dubai Perth 777-200LR A380 service . overall experience Emirates first time great would recommend overseas travel . first time travel amazing A380 great fly .",0.9735,Positive
1,"   I've done 4 very long distance flights with Emirates and I have to say I'm the most disappointed with the cabin staff service. Many of them appeared really moody or even mean on all 4 flights. They always seemed annoyed and unimpressed when requesting their service for anything. I assume they're just taught to be lovely to business and first class customers and economy doesn't matter? It's just so odd. Are they extremely stressed or something? Even the cheapest airline staff has been much nicer to me every single time. I really wouldn't call myself a difficult customer - one time I asked if the staff could turn down the fan a few rows down mine because I couldn't reach and the air was making me freezing cold to which the cabin crew replied ""Okay but I can't reach it so I have to ask the people in that row, next time just ask them yourself"". What's that about? Then they also forgot to take my partners food tray and when they were coming around I told them about it and was met with ""Oh... okay"". Not a sorry or anything at all. I thought they would be trained to provide an overall better experience and interaction. Also I haven't pressed the button for staff service many times, but out of the times I have, they responded in only about 30% of the cases. Overall I'm absolutely disappointed with the cabin crew. Otherwise, the food was quite nice, the Internet was unreachable most of the time, plane relatively clean.","   I've done 4 very long distance flights with Emirates and I have to say I'm the most disappointed with the cabin staff service. Many of them appeared really moody or even mean on all 4 flights. They always seemed annoyed and unimpressed when requesting their service for anything. I assume they're just taught to be lovely to business and first class customers and economy doesn't matter? It's just so odd. Are they extremely stressed or something? Even the cheapest airline staff has been much nicer to me every single time. I really wouldn't call myself a difficult customer - one time I asked if the staff could turn down the fan a few rows down mine because I couldn't reach and the air was making me freezing cold to which the cabin crew replied ""Okay but I can't reach it so I have to ask the people in that row, next time just ask them yourself"". What's that about? Then they also forgot to take my partners food tray and when they were coming around I told them about it and was met with ""Oh... okay"". Not a sorry or anything at all. I thought they would be trained to provide an overall better experience and interaction. Also I haven't pressed the button for staff service many times, but out of the times I have, they responded in only about 30% of the cases. Overall I'm absolutely disappointed with the cabin crew. Otherwise, the food was quite nice, the Internet was unreachable most of the time, plane relatively clean.","[(""'ve"", 'v'), ('done', 'v'), ('4', None), ('long', 'r'), ('distance', 'n'), ('flights', 'n'), ('Emirates', 'n'), ('say', 'v'), (""'m"", 'v'), ('disappointed', 'a'), ('cabin', 'a'), ('staff', 'n'), ('service', 'n'), ('.', None), ('Many', 'n'), ('appeared', 'v'), ('really', 'r'), ('moody', 'n'), ('even', 'r'), ('mean', 'v'), ('4', None), ('flights', 'n'), ('.', None), ('always', 'r'), ('seemed', 'v'), ('annoyed', 'a'), ('unimpressed', 'a'), ('requesting', 'v'), ('service', 'n'), ('anything', 'n'), ('.', None), ('assume', 'v'), (""'re"", 'v'), ('taught', 'v'), ('lovely', 'r'), ('business', 'n'), ('first', 'a'), ('class', 'n'), ('customers', 'n'), ('economy', 'n'), (""n't"", 'r'), ('matter', 'v'), ('?', None), (""'s"", 'v'), ('odd', 'a'), ('.', None), ('extremely', 'r'), ('stressed', 'v'), ('something', 'n'), ('?', None), ('Even', 'r'), ('cheapest', 'a'), ('airline', 'n'), ('staff', 'n'), ('much', 'a'), ('nicer', 'n'), ('every', None), ('single', 'a'), ('time', 'n'), ('.', None), ('really', 'r'), ('would', None), (""n't"", 'r'), ('call', 'v'), ('difficult', 'a'), ('customer', 'n'), ('-', None), ('one', None), ('time', 'n'), ('asked', 'v'), ('staff', 'n'), ('could', None), ('turn', 'v'), ('fan', 'n'), ('rows', 'n'), ('mine', 'n'), ('could', None), (""n't"", 'r'), ('reach', 'v'), ('air', 'n'), ('making', 'v'), ('freezing', 'v'), ('cold', 'n'), ('cabin', 'n'), ('crew', 'v'), ('replied', 'a'), ('``', None), ('Okay', 'n'), ('ca', None), (""n't"", 'r'), ('reach', 'v'), ('ask', 'v'), ('people', 'n'), ('row', 'n'), (',', None), ('next', 'a'), ('time', 'n'), ('ask', 'v'), (""''"", None), ('.', None), (""'s"", 'v'), ('?', None), ('also', 'r'), ('forgot', 'v'), ('take', 'v'), ('partners', 'n'), ('food', 'n'), ('tray', 'n'), ('coming', 'v'), ('around', 'r'), ('told', 'v'), ('met', 'v'), ('``', None), ('Oh', None), ('...', None), ('okay', 'n'), (""''"", None), ('.', None), ('sorry', 'n'), ('anything', 'n'), ('.', None), ('thought', 'v'), ('would', None), ('trained', 'v'), ('provide', 'v'), ('overall', 'a'), ('better', 'a'), ('experience', 'n'), ('interaction', 'n'), ('.', None), ('Also', 'r'), (""n't"", 'r'), ('pressed', 'v'), ('button', 'n'), ('staff', 'n'), ('service', 'n'), ('many', 'a'), ('times', 'n'), (',', None), ('times', 'n'), (',', None), ('responded', 'v'), ('30', None), ('%', 'n'), ('cases', 'n'), ('.', None), ('Overall', 'a'), (""'m"", 'v'), ('absolutely', 'r'), ('disappointed', 'v'), ('cabin', 'n'), ('crew', 'n'), ('.', None), ('Otherwise', 'r'), (',', None), ('food', 'n'), ('quite', 'r'), ('nice', 'a'), (',', None), ('Internet', 'n'), ('unreachable', 'a'), ('time', 'n'), (',', None), ('plane', 'n'), ('relatively', 'r'), ('clean', 'a'), ('.', None)]","  've do 4 long distance flight Emirates say 'm disappointed cabin staff service . Many appear really moody even mean 4 flight . always seem annoyed unimpressed request service anything . assume 're teach lovely business first class customer economy n't matter ? 's odd . extremely stress something ? Even cheap airline staff much nicer every single time . really would n't call difficult customer - one time ask staff could turn fan row mine could n't reach air make freeze cold cabin crew replied `` Okay ca n't reach ask people row , next time ask '' . 's ? also forget take partner food tray come around tell meet `` Oh ... okay '' . sorry anything . think would train provide overall good experience interaction . Also n't press button staff service many time , time , respond 30 % case . Overall 'm absolutely disappoint cabin crew . Otherwise , food quite nice , Internet unreachable time , plane relatively clean .",0.3903,Neutral
2,"  I had a horrible experience with Emirates as they mistreated me aboard all 4 flights. I was yelled by a flight attendant on my first flight just for waiting to use the restroom. I also had a bad time in Dubai during a layover. It was so cold inside the cabin, I never felt that cold in a plane before. I see that Emirates is declining in their service. It is time to move onto another airline.","  I had a horrible experience with Emirates as they mistreated me aboard all 4 flights. I was yelled by a flight attendant on my first flight just for waiting to use the restroom. I also had a bad time in Dubai during a layover. It was so cold inside the cabin, I never felt that cold in a plane before. I see that Emirates is declining in their service. It is time to move onto another airline.","[('horrible', 'a'), ('experience', 'n'), ('Emirates', 'n'), ('mistreated', 'v'), ('aboard', None), ('4', None), ('flights', 'n'), ('.', None), ('yelled', 'v'), ('flight', 'n'), ('attendant', 'n'), ('first', 'a'), ('flight', 'n'), ('waiting', 'v'), ('use', 'v'), ('restroom', 'n'), ('.', None), ('also', 'r'), ('bad', 'a'), ('time', 'n'), ('Dubai', 'n'), ('layover', 'n'), ('.', None), ('cold', 'a'), ('inside', None), ('cabin', 'n'), (',', None), ('never', 'r'), ('felt', 'v'), ('cold', 'n'), ('plane', 'n'), ('.', None), ('see', 'v'), ('Emirates', 'n'), ('declining', 'v'), ('service', 'n'), ('.', None), ('time', 'n'), ('move', 'v'), ('onto', None), ('another', None), ('airline', 'n'), ('.', None)]","  horrible experience Emirates mistreat aboard 4 flight . yell flight attendant first flight wait use restroom . also bad time Dubai layover . cold inside cabin , never felt cold plane . see Emirates decline service . time move onto another airline .",-0.7845,Negative
3,"   Business Class from Barcelona (using miles) to Dubai and Premium Economy to Auckland. Lounge in Barcelona busy, however a good selection of food and beverages, and most importantly a good shower. Business class very comfortable, good food and attentive service. I do like the bar area. A nice place to stretch one’s legs. 4 hour layover in Dubai, spent in lounge in Terminal c then Terminal b, which is the better lounge. Premium Economy to Auckland. Wonderful service, from a charming young lady on my aisle. I like that my status with Emirates is always acknowledged by the crew. A nice touch. Good food, and I found plenty to watch on the entertainment. Delayed by 1 hour in Dubai, so arrived an hour late into Auckland. Emirates is my airline of choice.","   Business Class from Barcelona (using miles) to Dubai and Premium Economy to Auckland. Lounge in Barcelona busy, however a good selection of food and beverages, and most importantly a good shower. Business class very comfortable, good food and attentive service. I do like the bar area. A nice place to stretch one’s legs. 4 hour layover in Dubai, spent in lounge in Terminal c then Terminal b, which is the better lounge. Premium Economy to Auckland. Wonderful service, from a charming young lady on my aisle. I like that my status with Emirates is always acknowledged by the crew. A nice touch. Good food, and I found plenty to watch on the entertainment. Delayed by 1 hour in Dubai, so arrived an hour late into Auckland. Emirates is my airline of choice.","[('Business', 'n'), ('Class', 'n'), ('Barcelona', 'n'), ('(', None), ('using', 'v'), ('miles', 'n'), (')', None), ('Dubai', 'n'), ('Premium', 'n'), ('Economy', 'n'), ('Auckland', 'n'), ('.', None), ('Lounge', 'n'), ('Barcelona', 'n'), ('busy', 'a'), (',', None), ('however', 'r'), ('good', 'a'), ('selection', 'n'), ('food', 'n'), ('beverages', 'n'), (',', None), ('importantly', 'r'), ('good', 'a'), ('shower', 'n'), ('.', None), ('Business', 'n'), ('class', 'n'), ('comfortable', 'a'), (',', None), ('good', 'a'), ('food', 'n'), ('attentive', 'a'), ('service', 'n'), ('.', None), ('like', None), ('bar', 'n'), ('area', 'n'), ('.', None), ('nice', 'a'), ('place', 'n'), ('stretch', 'v'), ('one', None), ('’', 'n'), ('legs', 'n'), ('.', None), ('4', None), ('hour', 'n'), ('layover', 'n'), ('Dubai', 'n'), (',', None), ('spent', 'n'), ('lounge', 'n'), ('Terminal', 'n'), ('c', 'n'), ('Terminal', 'n'), ('b', 'n'), (',', None), ('better', 'a'), ('lounge', 'n'), ('.', None), ('Premium', 'a'), ('Economy', 'n'), ('Auckland', 'n'), ('.', None), ('Wonderful', 'n'), ('service', 'n'), (',', None), ('charming', 'v'), ('young', 'a'), ('lady', 'n'), ('aisle', 'n'), ('.', None), ('like', None), ('status', 'n'), ('Emirates', 'n'), ('always', 'r'), ('acknowledged', 'v'), ('crew', 'n'), ('.', None), ('nice', 'a'), ('touch', 'n'), ('.', None), ('Good', 'a'), ('food', 'n'), (',', None), ('found', 'v'), ('plenty', 'r'), ('watch', 'v'), ('entertainment', 'n'), ('.', None), ('Delayed', 'v'), ('1', None), ('hour', 'n'), ('Dubai', 'n'), (',', None), ('arrived', 'v'), ('hour', 'n'), ('late', 'r'), ('Auckland', 'n'), ('.', None), ('Emirates', 'n'), ('airline', 'n'), ('choice', 'n'), ('.', None)]","  Business Class Barcelona ( use mile ) Dubai Premium Economy Auckland . Lounge Barcelona busy , however good selection food beverage , importantly good shower . Business class comfortable , good food attentive service . like bar area . nice place stretch one ’ leg . 4 hour layover Dubai , spent lounge Terminal c Terminal b , good lounge . Premium Economy Auckland . Wonderful service , charm young lady aisle . like status Emirates always acknowledge crew . nice touch . Good food , find plenty watch entertainment . Delayed 1 hour Dubai , arrive hour late Auckland . Emirates airline choice .",0.9882,Positive
4,"   Mistreat unaccompanied minor passengers. Travellers can only obtain VISAS through only one visa provider. We followed correct process for visa application and at the airport confirmed with departures that visa was valid. The unaccompanied child was permitted to board the Emirates flight, I still paid $100 additional for unaccompanied minor service. The entire time I checked with all stakeholders could this child travel unaccompanied to Dubai on her own. Every single time I was told yes. Emirates sold me the ticket, Emirates sold me the unaccompanied minor package but now are not accepting responsibility! Upon arrival in Dubai the minor was aggressively treated by immigration, detained for 24 hours and deported back home. The child was not permitted to cross the border to visit her grandmother residing in Dubai. Now the airline claims that the grandmother could have applied for a different visa at the Dubai airport. So they won't allow the child to leave with the grandmother but they will allow the grandmother to apply for another visa? Flawed policy. That is all these greedy airlines care about. The child was detained and while her physical needs were taken care of, she has been left psychologically traumatized. Received few meal vouchers while detained.","   Mistreat unaccompanied minor passengers. Travellers can only obtain VISAS through only one visa provider. We followed correct process for visa application and at the airport confirmed with departures that visa was valid. The unaccompanied child was permitted to board the Emirates flight, I still paid $100 additional for unaccompanied minor service. The entire time I checked with all stakeholders could this child travel unaccompanied to Dubai on her own. Every single time I was told yes. Emirates sold me the ticket, Emirates sold me the unaccompanied minor package but now are not accepting responsibility! Upon arrival in Dubai the minor was aggressively treated by immigration, detained for 24 hours and deported back home. The child was not permitted to cross the border to visit her grandmother residing in Dubai. Now the airline claims that the grandmother could have applied for a different visa at the Dubai airport. So they won't allow the child to leave with the grandmother but they will allow the grandmother to apply for another visa? Flawed policy. That is all these greedy airlines care about. The child was detained and while her physical needs were taken care of, she has been left psychologically traumatized. Received few meal vouchers while detained.","[('Mistreat', 'n'), ('unaccompanied', 'v'), ('minor', 'a'), ('passengers', 'n'), ('.', None), ('Travellers', 'n'), ('obtain', 'v'), ('VISAS', 'n'), ('one', None), ('visa', 'n'), ('provider', 'n'), ('.', None), ('followed', 'v'), ('correct', 'a'), ('process', 'n'), ('visa', 'a'), ('application', 'n'), ('airport', 'n'), ('confirmed', 'v'), ('departures', 'n'), ('visa', 'v'), ('valid', 'a'), ('.', None), ('unaccompanied', 'a'), ('child', 'n'), ('permitted', 'v'), ('board', 'n'), ('Emirates', 'n'), ('flight', 'n'), (',', None), ('still', 'r'), ('paid', 'v'), ('$', None), ('100', None), ('additional', 'a'), ('unaccompanied', 'a'), ('minor', 'a'), ('service', 'n'), ('.', None), ('entire', 'a'), ('time', 'n'), ('checked', 'v'), ('stakeholders', 'n'), ('could', None), ('child', 'v'), ('travel', 'n'), ('unaccompanied', 'a'), ('Dubai', 'v'), ('.', None), ('Every', None), ('single', 'a'), ('time', 'n'), ('told', 'v'), ('yes', 'r'), ('.', None), ('Emirates', 'n'), ('sold', 'v'), ('ticket', 'n'), (',', None), ('Emirates', 'n'), ('sold', 'v'), ('unaccompanied', 'a'), ('minor', 'a'), ('package', 'n'), ('accepting', 'v'), ('responsibility', 'n'), ('!', None), ('Upon', None), ('arrival', 'n'), ('Dubai', 'n'), ('minor', 'n'), ('aggressively', 'r'), ('treated', 'v'), ('immigration', 'n'), (',', None), ('detained', 'v'), ('24', None), ('hours', 'n'), ('deported', 'v'), ('back', 'r'), ('home', 'n'), ('.', None), ('child', 'n'), ('permitted', 'v'), ('cross', 'v'), ('border', 'n'), ('visit', 'v'), ('grandmother', 'n'), ('residing', 'n'), ('Dubai', 'n'), ('.', None), ('airline', 'n'), ('claims', 'v'), ('grandmother', 'n'), ('could', None), ('applied', 'v'), ('different', 'a'), ('visa', 'n'), ('Dubai', 'n'), ('airport', 'n'), ('.', None), ('wo', None), (""n't"", 'r'), ('allow', 'v'), ('child', 'n'), ('leave', 'v'), ('grandmother', 'n'), ('allow', 'v'), ('grandmother', 'n'), ('apply', 'v'), ('another', None), ('visa', 'n'), ('?', None), ('Flawed', 'n'), ('policy', 'n'), ('.', None), ('greedy', 'n'), ('airlines', 'n'), ('care', 'n'), ('.', None), ('child', 'n'), ('detained', 'v'), ('physical', 'a'), ('needs', 'n'), ('taken', 'v'), ('care', 'n'), (',', None), ('left', 'v'), ('psychologically', 'r'), ('traumatized', 'v'), ('.', None), ('Received', 'v'), ('meal', 'a'), ('vouchers', 'n'), ('detained', 'v'), ('.', None)]","  Mistreat unaccompanied minor passenger . Travellers obtain VISAS one visa provider . follow correct process visa application airport confirm departure visa valid . unaccompanied child permit board Emirates flight , still pay $ 100 additional unaccompanied minor service . entire time check stakeholder could child travel unaccompanied Dubai . Every single time tell yes . Emirates sell ticket , Emirates sell unaccompanied minor package accept responsibility ! Upon arrival Dubai minor aggressively treat immigration , detain 24 hour deport back home . child permit cross border visit grandmother residing Dubai . airline claim grandmother could apply different visa Dubai airport . wo n't allow child leave grandmother allow grandmother apply another visa ? Flawed policy . greedy airline care . child detain physical need take care , leave psychologically traumatize . Received meal voucher detain .",-0.6818,Negative
5,"   I got off my flight and immediately realised i had left behind my wireless headphones. I tried to go back but was denied. I went straight to Emirates lost and found hoing to get some service as a premium customer. Instead i got send us an email. I held my ground and was fobbed off by being assured plane would be cleaned within four hours and they would send them on to me in Singapore my next stop. Guess what not found even though i gave them my exact seat and they could not care less. This is now a number of poor Emirates customer service experiences for me, so never again will I fly Emirates unless i have no other options.","   I got off my flight and immediately realised i had left behind my wireless headphones. I tried to go back but was denied. I went straight to Emirates lost and found hoing to get some service as a premium customer. Instead i got send us an email. I held my ground and was fobbed off by being assured plane would be cleaned within four hours and they would send them on to me in Singapore my next stop. Guess what not found even though i gave them my exact seat and they could not care less. This is now a number of poor Emirates customer service experiences for me, so never again will I fly Emirates unless i have no other options.","[('got', 'v'), ('flight', 'n'), ('immediately', 'r'), ('realised', 'v'), ('left', 'v'), ('behind', None), ('wireless', 'a'), ('headphones', 'n'), ('.', None), ('tried', 'v'), ('go', 'v'), ('back', 'r'), ('denied', 'v'), ('.', None), ('went', 'v'), ('straight', 'r'), ('Emirates', 'n'), ('lost', 'v'), ('found', 'v'), ('hoing', 'n'), ('get', 'v'), ('service', 'n'), ('premium', 'a'), ('customer', 'n'), ('.', None), ('Instead', 'r'), ('got', 'v'), ('send', 'a'), ('us', None), ('email', 'n'), ('.', None), ('held', 'v'), ('ground', 'n'), ('fobbed', 'v'), ('assured', 'v'), ('plane', 'n'), ('would', None), ('cleaned', 'v'), ('within', None), ('four', None), ('hours', 'n'), ('would', None), ('send', 'v'), ('Singapore', 'n'), ('next', 'a'), ('stop', 'n'), ('.', None), ('Guess', 'v'), ('found', 'v'), ('even', 'r'), ('though', None), ('gave', 'v'), ('exact', 'a'), ('seat', 'n'), ('could', None), ('care', 'v'), ('less', 'r'), ('.', None), ('number', 'n'), ('poor', 'a'), ('Emirates', 'n'), ('customer', 'n'), ('service', 'n'), ('experiences', 'n'), (',', None), ('never', 'r'), ('fly', 'v'), ('Emirates', 'n'), ('unless', None), ('options', 'n'), ('.', None)]","  get flight immediately realise leave behind wireless headphone . try go back deny . go straight Emirates lose find hoing get service premium customer . Instead get send us email . hold ground fob assure plane would clean within four hour would send Singapore next stop . Guess find even though give exact seat could care less . number poor Emirates customer service experience , never fly Emirates unless option .",-0.0296,Negative
6,   This was my first time with the airline. Emirates food was amazing! The staff was very professional and helpful. I would fly again with them—I have no regrets about the money we spent.,   This was my first time with the airline. Emirates food was amazing! The staff was very professional and helpful. I would fly again with them—I have no regrets about the money we spent.,"[('first', 'a'), ('time', 'n'), ('airline', 'n'), ('.', None), ('Emirates', 'n'), ('food', 'n'), ('amazing', 'v'), ('!', None), ('staff', 'n'), ('professional', 'a'), ('helpful', 'a'), ('.', None), ('would', None), ('fly', 'v'), ('them—I', 'n'), ('regrets', 'n'), ('money', 'n'), ('spent', 'v'), ('.', None)]",  first time airline . Emirates food amaze ! staff professional helpful . would fly them—I regret money spend .,0.5848,Positive
7," Travel does not get any better than Emirates A380, especially on a 17 hour flight. Premium Economy Auckland to Dubai. Really comfortable seat, good food and service. Had a good solid 8 1/2 hours sleep. Although the IFE is vast, I find the choice for me is limited. I’m just being picky I guess. The Business lounge in Terminal C is woeful. I will do a separate review. Dubai to Barcelona I used points to upgrade to Business. Fabulous. Very comfortable seat, charming service and good food. I love the bar area. I fly to Europe 2 to 3 times a year and always use Emirates. They slightly more expensive, but worth it."," Travel does not get any better than Emirates A380, especially on a 17 hour flight. Premium Economy Auckland to Dubai. Really comfortable seat, good food and service. Had a good solid 8 1/2 hours sleep. Although the IFE is vast, I find the choice for me is limited. I’m just being picky I guess. The Business lounge in Terminal C is woeful. I will do a separate review. Dubai to Barcelona I used points to upgrade to Business. Fabulous. Very comfortable seat, charming service and good food. I love the bar area. I fly to Europe 2 to 3 times a year and always use Emirates. They slightly more expensive, but worth it.","[('Travel', 'n'), ('get', 'v'), ('better', 'a'), ('Emirates', 'n'), ('A380', 'n'), (',', None), ('especially', 'r'), ('17', None), ('hour', 'n'), ('flight', 'n'), ('.', None), ('Premium', 'a'), ('Economy', 'n'), ('Auckland', 'n'), ('Dubai', 'n'), ('.', None), ('Really', 'n'), ('comfortable', 'a'), ('seat', 'n'), (',', None), ('good', 'a'), ('food', 'n'), ('service', 'n'), ('.', None), ('good', 'a'), ('solid', 'a'), ('8', None), ('1/2', None), ('hours', 'n'), ('sleep', 'r'), ('.', None), ('Although', None), ('IFE', 'n'), ('vast', 'a'), (',', None), ('find', 'v'), ('choice', 'n'), ('limited', 'a'), ('.', None), ('’', 'v'), ('picky', 'a'), ('guess', 'v'), ('.', None), ('Business', 'n'), ('lounge', 'n'), ('Terminal', 'n'), ('C', 'n'), ('woeful', 'a'), ('.', None), ('separate', 'a'), ('review', 'n'), ('.', None), ('Dubai', 'n'), ('Barcelona', 'n'), ('used', 'v'), ('points', 'n'), ('upgrade', 'v'), ('Business', 'n'), ('.', None), ('Fabulous', 'n'), ('.', None), ('comfortable', 'a'), ('seat', 'n'), (',', None), ('charming', 'v'), ('service', 'n'), ('good', 'a'), ('food', 'n'), ('.', None), ('love', 'v'), ('bar', 'n'), ('area', 'n'), ('.', None), ('fly', 'v'), ('Europe', 'n'), ('2', None), ('3', None), ('times', 'n'), ('year', 'n'), ('always', 'r'), ('use', 'v'), ('Emirates', 'n'), ('.', None), ('slightly', 'r'), ('expensive', 'a'), (',', None), ('worth', None), ('.', None)]","  Travel get good Emirates A380 , especially 17 hour flight . Premium Economy Auckland Dubai . Really comfortable seat , good food service . good solid 8 1/2 hour sleep . Although IFE vast , find choice limited . ’ picky guess . Business lounge Terminal C woeful . separate review . Dubai Barcelona use point upgrade Business . Fabulous . comfortable seat , charm service good food . love bar area . fly Europe 2 3 time year always use Emirates . slightly expensive , worth .",0.9782,Positive
8,"   The flight was choc a bloc full in every class. The cabin manager Mohamed was very efficient but the lady serving my section was definitely not in her right mood. Meals were very disappointing, to say the least. Service from Mpohamed was exceptional!","   The flight was choc a bloc full in every class. The cabin manager Mohamed was very efficient but the lady serving my section was definitely not in her right mood. Meals were very disappointing, to say the least. Service from Mpohamed was exceptional!","[('flight', 'n'), ('choc', 'v'), ('bloc', 'n'), ('full', 'a'), ('every', None), ('class', 'n'), ('.', None), ('cabin', 'n'), ('manager', 'n'), ('Mohamed', 'n'), ('efficient', 'a'), ('lady', 'n'), ('serving', 'v'), ('section', 'n'), ('definitely', 'r'), ('right', 'a'), ('mood', 'n'), ('.', None), ('Meals', 'n'), ('disappointing', 'a'), (',', None), ('say', 'v'), ('least', 'a'), ('.', None), ('Service', 'n'), ('Mpohamed', 'n'), ('exceptional', 'a'), ('!', None)]","  flight choc bloc full every class . cabin manager Mohamed efficient lady serve section definitely right mood . Meals disappointing , say least . Service Mpohamed exceptional !",0.3802,Neutral
9," The check-in staff was terribly slow and repetitive in her questions. We spent over an hour completing it. The Emirates lounge was very good and in fact that was the only proper meal we had. The male staff at the reception was very very helpful. In flight, it was an AWFUL experience. The staff could not cope with the full flight and dinner was served 2.5 hours after take off. Food was appalling!! Emirates catering leaves a lot to desire."," The check-in staff was terribly slow and repetitive in her questions. We spent over an hour completing it. The Emirates lounge was very good and in fact that was the only proper meal we had. The male staff at the reception was very very helpful. In flight, it was an AWFUL experience. The staff could not cope with the full flight and dinner was served 2.5 hours after take off. Food was appalling!! Emirates catering leaves a lot to desire.","[('check-in', 'a'), ('staff', 'n'), ('terribly', 'r'), ('slow', 'a'), ('repetitive', 'a'), ('questions', 'n'), ('.', None), ('spent', 'v'), ('hour', 'n'), ('completing', 'v'), ('.', None), ('Emirates', 'n'), ('lounge', 'n'), ('good', 'a'), ('fact', 'n'), ('proper', 'a'), ('meal', 'n'), ('.', None), ('male', 'a'), ('staff', 'n'), ('reception', 'n'), ('helpful', 'a'), ('.', None), ('flight', 'n'), (',', None), ('AWFUL', 'a'), ('experience', 'n'), ('.', None), ('staff', 'n'), ('could', None), ('cope', 'v'), ('full', 'a'), ('flight', 'n'), ('dinner', 'n'), ('served', 'v'), ('2.5', None), ('hours', 'n'), ('take', 'v'), ('.', None), ('Food', 'n'), ('appalling', 'v'), ('!', None), ('!', None), ('Emirates', 'n'), ('catering', 'v'), ('leaves', 'v'), ('lot', 'n'), ('desire', 'v'), ('.', None)]","  check-in staff terribly slow repetitive question . spend hour complete . Emirates lounge good fact proper meal . male staff reception helpful . flight , AWFUL experience . staff could cope full flight dinner serve 2.5 hour take . Food appal ! ! Emirates cater leave lot desire .",-0.4053,Negative
