,Data
0,"Not Verified | My parents and I travelled to Lisbon via Dubai on the A380 and 777-300ER and service was very good, food was tasty and economy on the A380 and 777-300er and 777-200er was pretty good. And we travelled home from Barcelona via Dubai to Perth on 777-200LR and A380 and service was the same. My overall experience with Emirates being my first time was great and I would recommend them for overseas travel. This was my first time travelling on the amazing A380 and it was great to fly on."
1,"✅ Trip Verified |   I've done 4 very long distance flights with Emirates and I have to say I'm the most disappointed with the cabin staff service. Many of them appeared really moody or even mean on all 4 flights. They always seemed annoyed and unimpressed when requesting their service for anything. I assume they're just taught to be lovely to business and first class customers and economy doesn't matter? It's just so odd. Are they extremely stressed or something? Even the cheapest airline staff has been much nicer to me every single time. I really wouldn't call myself a difficult customer - one time I asked if the staff could turn down the fan a few rows down mine because I couldn't reach and the air was making me freezing cold to which the cabin crew replied ""Okay but I can't reach it so I have to ask the people in that row, next time just ask them yourself"". What's that about? Then they also forgot to take my partners food tray and when they were coming around I told them about it and was met with ""Oh... okay"". Not a sorry or anything at all. I thought they would be trained to provide an overall better experience and interaction. Also I haven't pressed the button for staff service many times, but out of the times I have, they responded in only about 30% of the cases. Overall I'm absolutely disappointed with the cabin crew. Otherwise, the food was quite nice, the Internet was unreachable most of the time, plane relatively clean."
2,"Not Verified |  I had a horrible experience with Emirates as they mistreated me aboard all 4 flights. I was yelled by a flight attendant on my first flight just for waiting to use the restroom. I also had a bad time in Dubai during a layover. It was so cold inside the cabin, I never felt that cold in a plane before. I see that Emirates is declining in their service. It is time to move onto another airline."
3,"Not Verified |   Business Class from Barcelona (using miles) to Dubai and Premium Economy to Auckland. Lounge in Barcelona busy, however a good selection of food and beverages, and most importantly a good shower. Business class very comfortable, good food and attentive service. I do like the bar area. A nice place to stretch one’s legs. 4 hour layover in Dubai, spent in lounge in Terminal c then Terminal b, which is the better lounge. Premium Economy to Auckland. Wonderful service, from a charming young lady on my aisle. I like that my status with Emirates is always acknowledged by the crew. A nice touch. Good food, and I found plenty to watch on the entertainment. Delayed by 1 hour in Dubai, so arrived an hour late into Auckland. Emirates is my airline of choice."
4,"✅ Trip Verified |   Mistreat unaccompanied minor passengers. Travellers can only obtain VISAS through only one visa provider. We followed correct process for visa application and at the airport confirmed with departures that visa was valid. The unaccompanied child was permitted to board the Emirates flight, I still paid $100 additional for unaccompanied minor service. The entire time I checked with all stakeholders could this child travel unaccompanied to Dubai on her own. Every single time I was told yes. Emirates sold me the ticket, Emirates sold me the unaccompanied minor package but now are not accepting responsibility! Upon arrival in Dubai the minor was aggressively treated by immigration, detained for 24 hours and deported back home. The child was not permitted to cross the border to visit her grandmother residing in Dubai. Now the airline claims that the grandmother could have applied for a different visa at the Dubai airport. So they won't allow the child to leave with the grandmother but they will allow the grandmother to apply for another visa? Flawed policy. That is all these greedy airlines care about. The child was detained and while her physical needs were taken care of, she has been left psychologically traumatized. Received few meal vouchers while detained."
5,"✅ Trip Verified |   I got off my flight and immediately realised i had left behind my wireless headphones. I tried to go back but was denied. I went straight to Emirates lost and found hoing to get some service as a premium customer. Instead i got send us an email. I held my ground and was fobbed off by being assured plane would be cleaned within four hours and they would send them on to me in Singapore my next stop. Guess what not found even though i gave them my exact seat and they could not care less. This is now a number of poor Emirates customer service experiences for me, so never again will I fly Emirates unless i have no other options."
6,✅ Trip Verified |   This was my first time with the airline. Emirates food was amazing! The staff was very professional and helpful. I would fly again with them—I have no regrets about the money we spent.
7,"Not Verified | Travel does not get any better than Emirates A380, especially on a 17 hour flight. Premium Economy Auckland to Dubai. Really comfortable seat, good food and service. Had a good solid 8 1/2 hours sleep. Although the IFE is vast, I find the choice for me is limited. I’m just being picky I guess. The Business lounge in Terminal C is woeful. I will do a separate review. Dubai to Barcelona I used points to upgrade to Business. Fabulous. Very comfortable seat, charming service and good food. I love the bar area. I fly to Europe 2 to 3 times a year and always use Emirates. They slightly more expensive, but worth it."
8,"✅ Trip Verified |   The flight was choc a bloc full in every class. The cabin manager Mohamed was very efficient but the lady serving my section was definitely not in her right mood. Meals were very disappointing, to say the least. Service from Mpohamed was exceptional!"
9,"✅ Trip Verified | The check-in staff was terribly slow and repetitive in her questions. We spent over an hour completing it. The Emirates lounge was very good and in fact that was the only proper meal we had. The male staff at the reception was very very helpful. In flight, it was an AWFUL experience. The staff could not cope with the full flight and dinner was served 2.5 hours after take off. Food was appalling!! Emirates catering leaves a lot to desire."
